is_question,title,scraped_at
0,Changing How We Develop Ladybird,2026-06-05T14:15:01.378298
0,C++: The Documentary,2026-06-05T14:15:01.378333
0,Fine-tuning an LLM to write docs like it's 1995,2026-06-05T14:15:01.378337
0,Meta enables ADB on deprecated Portal devices [video],2026-06-05T14:15:01.378340
0,Leap in DNA synthesis slashes time to build new genetic sequences,2026-06-05T14:15:01.378343
0,Anthropic's open-source framework for AI-powered vulnerability discovery,2026-06-05T14:15:01.378345
0,The IsUpMap lets you check the status of over 100 major sites at once,2026-06-05T14:15:01.378348
1,Do transformers need three projections? Systematic study of QKV variants,2026-06-05T14:15:01.378350
0,Open Code Review – An AI-powered code review CLI tool,2026-06-05T14:15:01.378353
0,"ESP32 Bit Pirate, a Hardware Hacking Tool with WebCLI That Speaks Every Protocol",2026-06-05T14:15:01.378355
0,Watching a Z80 from an RP2350,2026-06-05T14:15:01.378358
0,I'm skeptical about efforts to revolutionize schooling,2026-06-05T14:15:01.378360
0,Azure Linux 4.0 is Microsoft's first general-purpose Linux,2026-06-05T14:15:01.378362
0,Branchless Quicksort faster than std:sort and pdqsort with C and C++ API,2026-06-05T14:15:01.378364
0,There's no escaping it: an exploration of ANSI codes,2026-06-05T14:15:01.378367
0,WiFi Time,2026-06-05T14:15:01.378369
0,Delacroix's Entry of the Crusaders into Constantinople Restored,2026-06-05T14:15:01.378371
0,Go Experiments Explained,2026-06-05T14:15:01.378373
0,"SpaceX, Other Mega IPOs Denied Fast Index Entry by S&P",2026-06-05T14:15:01.378375
0,Magenta RealTime 2: Open and Local Live Music Models,2026-06-05T14:15:01.378378
0,Linear Cosine Palettes(2025),2026-06-05T14:15:01.378380
0,"Reverse-Engineered Userspace Driver for Asus ZenVision Lid OLED on Linux""",2026-06-05T14:15:01.378382
0,Samurai City,2026-06-05T14:15:01.378385
0,Queen bees emerge from special wax chambers,2026-06-05T14:15:01.378387
0,VoidZero Is Joining Cloudflare,2026-06-05T14:15:01.378389
0,KVarN: Native vLLM backend for KV-cache quantization by Huawei,2026-06-05T14:15:01.378391
0,Retro-Tech Parenting,2026-06-05T14:15:01.378393
0,When AI Builds Itself: Our progress toward recursive self-improvement,2026-06-05T14:15:01.378396
0,WSL 2 is getting faster Windows file system access,2026-06-05T14:15:01.378398
0,JLink JTAG Access on the Pinecil,2026-06-05T14:15:01.378400
0,"Andrew was sub-letting Royal Lodge cottages, watchdog reveals",2026-06-05T14:15:01.378402
0,Burnham says he would seek to enter any Labour leadership contest,2026-06-05T14:15:01.378404
0,World-first vaccine designed by AI could protect against whole families of viruses,2026-06-05T14:15:01.378406
0,"UK in most dangerous period I've known, military chief says",2026-06-05T14:15:01.378409
0,"One in four births in England is now emergency caesarean, BBC analysis shows",2026-06-05T14:15:01.378411
0,Mangrove forests are healing after decades of human destruction,2026-06-05T14:15:01.378414
0,Gareth Southgate: We need to teach boys differently to girls to get best out of them,2026-06-05T14:15:01.378416
0,Zelensky proposes face-to-face talks in open letter to Putin,2026-06-05T14:15:01.378418
0,How Trump's White House ballroom plan has doubled in size and cost over a year,2026-06-05T14:15:01.378420
0,"We need to have ability to slow AI down, says Anthropic co-founder",2026-06-05T14:15:01.378423
0,"Ex-wife of Dubai ruler's nephew in custody, prosecutors say",2026-06-05T14:15:01.378425
0,Kate Winslet delights young film fan with surprise call,2026-06-05T14:15:01.378427
0,Tough cookies: How pop group Le Sserafim overcame band tensions and internet trolls,2026-06-05T14:15:01.378430
0,The ancient trick making food waste useful and tasty,2026-06-05T14:15:01.378432
0,Single 20-somethings need AI to make first move on dating apps - Hinge boss,2026-06-05T14:15:01.378434
0,The Papers: 'Andrew cashed in' and 'Kate shares in mum's joy',2026-06-05T14:15:01.378436
1,Weekly quiz: What did Rosamund Pike say to the person using their phone during her play?,2026-06-05T14:15:01.378439
0,'We moved in with 17 strangers so we wouldn't be lonely' - why co-housing is on the rise,2026-06-05T14:15:01.378441
0,How misinformation about Henry Nowak's murder sent two people into hiding,2026-06-05T14:15:01.378443
0,Helicopter deaths 'devastating' for Royal Navy,2026-06-05T14:15:01.378445
0,Hezbollah rejects renewed ceasefire agreed by Israel and Lebanon,2026-06-05T14:15:01.378447
0,Exam regulator monitoring marking of A-level maths exam that left students 'overwhelmed',2026-06-05T14:15:01.378449
0,Mount Everest climber recounts moment he lost guide who survived alone for six days,2026-06-05T14:15:01.378452
0,"Bear opens window in factory escape, Japanese police say",2026-06-05T14:15:01.378454
0,"Conflict over identity politics could lead to civil war in long term, says Badenoch",2026-06-05T14:15:01.378456
0,British Heart Foundation plans to close 150 charity shops,2026-06-05T14:15:01.378458
0,BBC News app,2026-06-05T14:15:01.378460
0,By-Electioncast: Chris Reports Back From Makerfield,2026-06-05T14:15:01.378463
1,Does the US need new laws to protect elections?,2026-06-05T14:15:01.378465
0,The story of how England's 'Golden Generation' unravelled,2026-06-05T14:15:01.378467
0,The devastating reality of life with endometriosis,2026-06-05T14:15:01.378469
0,"Exiled for 829 days, back with three wickets in an over - Robinson's redemption",2026-06-05T14:15:01.378471
0,"Top players, title fights - why Iraola feels ready for Liverpool",2026-06-05T14:15:01.378473
1,Pressure is a privilege - who will cope best in Paris men's semi-finals?,2026-06-05T14:15:01.378476
0,Robinson's perfect return gives England edge over NZ,2026-06-05T14:15:01.378478
0,Celtic fan groups state opposition to Keane,2026-06-05T14:15:01.378480
0,Messi v Ronaldo: A rivalry that has dominated for two decades,2026-06-05T14:15:01.378483
0,Caudery and Hunter Bell win at Rome Diamond League,2026-06-05T14:15:01.378485
0,"Mira Murati steps back into the spotlight, carefully",2026-06-05T14:15:01.378487
0,"Founders Fund launches game show starring Sam Altman, Palmer Luckey, and other tech elites",2026-06-05T14:15:01.378489
0,"Ahead of its IPO, Anthropic’s Daniela Amodei shrugs off doubts about AI’s returns",2026-06-05T14:15:01.378492
0,Airbnb’s Brian Chesky plans to launch a new AI lab,2026-06-05T14:15:01.378495
0,Filtr is a new privacy tool that blocks ads in almost every iPhone and Mac app,2026-06-05T14:15:01.378497
0,"Defense tech, AI, and fundraising take center stage at StrictlyVC Los Angeles on June 18",2026-06-05T14:15:01.378500
0,Startup Battlefield is returning to Australia — here’s what happened the last time we came to Sydney,2026-06-05T14:15:01.378502
0,Meta steals a tactic from Tesla and builds data centers in tents,2026-06-05T14:15:01.378504
0,Apple approves Poke as the first AI agent on its Messages for Business platform,2026-06-05T14:15:01.378507
0,"Helion, the Sam Altman-backed fusion startup, raises $465M to build a power plant for Microsoft",2026-06-05T14:15:01.378509
0,"Meta’s Oversight Board says account bans lack due process, transparency",2026-06-05T14:15:01.378512
0,Meta rolls out a new AI creator assistant on Facebook,2026-06-05T14:15:01.378514
0,What to expect from WWDC 2026: Siri’s highly anticipated revamp and Apple Intelligence updates,2026-06-05T14:15:01.378516
0,A burglar used a Waymo to steal yoga clothes in San Francisco — and got away with it,2026-06-05T14:15:01.378518
0,Cash App launches a wand for tap-and-pay,2026-06-05T14:15:01.378520
0,Waymo’s spent robotaxi batteries will be used as grid storage,2026-06-05T14:15:01.378522
0,Ramp raises $750M at $44B valuation as investors hunger for fintechs with an AI story,2026-06-05T14:15:01.378525
1,Is Silicon Valley ready to put robots in people’s homes? Hello Robot is.,2026-06-05T14:15:01.378527
0,Chinese spies are using LinkedIn to lure Westerners into sharing sensitive information,2026-06-05T14:15:01.378529
0,"Apple touts $1.4 trillion in App Store billings and sales, 90% without a commission",2026-06-05T14:15:01.378531
0,Valve P2P networking broken for more than 2 months,2026-06-07T10:38:13.768284
0,Field of clones: How horse replicas came to dominate polo,2026-06-07T10:38:13.768471
0,Tokenomics: Quantifying Where Tokens Are Used in Agentic Software Engineering,2026-06-07T10:38:13.768476
0,Harness engineering: Leveraging Codex in an agent-first world,2026-06-07T10:38:13.768479
0,Ntsc-rs – open-source video emulation of analog TV and VHS artifacts,2026-06-07T10:38:13.768482
0,Public Domain Image Archive,2026-06-07T10:38:13.768485
0,Symbolica 2.0: Programmable Symbols for Python and Rust,2026-06-07T10:38:13.768487
0,How Liminalism Became the Defining Aesthetic of Our Time,2026-06-07T10:38:13.768489
0,Introducing Boron Buckyballs: Theory that B80 cages can’t be made is disproved,2026-06-07T10:38:13.768492
0,Show HN: Oproxy – inspect and modify network traffic from the browser,2026-06-07T10:38:13.768494
0,Biohub releases a world model of protein biology,2026-06-07T10:38:13.768496
0,Moving beyond fork() + exec(),2026-06-07T10:38:13.768498
0,Meta confirms 1000s of Instagram accounts were hacked by abusing its AI chatbot,2026-06-07T10:38:13.768500
0,Zeroserve: A zero-config web server you can script with eBPF,2026-06-07T10:38:13.768502
